Palabra,IDF_Colima,IDF_Yucatán,IDF_Morelos,IDF_QR,IDF_Jalisco,IDF_Guerrero,IDF_Tamaulipas,IDF_Chiapas,IDF_BCS,IDF_Veracruz,IDF_NL,IDF_Guanajuato,IDF_Puebla,IDF_Tabasco,IDF_Mexico_City,IDF_Sonora,IDF_Mexico,IDF_Oaxaca,IDF_Coahuila,IDF_Michoacán,IDF_Sinaloa,IDF_Querétaro,IDF_Durango,IDF_Zacatecas,IDF_Chihuahua,IDF_Hidalgo,IDF_BC,IDF_Campeche,IDF_Tlaxcala,IDF_SLP,IDF_Aguascalientes,IDF_Nayarit
sociedad,6.720311776607412,7.3632232699204225,6.614711562010304,7.402911726893694,7.110136076825481,6.569816568262454,7.856054431267386,6.903502304966196,6.871892411967137,7.162525018551967,7.693876233254954,6.996663773632513,6.9400584644051815,7.488006829712021,7.133143022045834,6.771663617290462,7.025288197198689,7.217210769140536,7.802616960858832,7.186341364326785,7.457859241419461,7.097428329039975,6.745263075776919,6.652890102394899,7.020812267554548,6.84868416493456,6.984990935725666,6.672265345887952,6.791793351978915,7.4896460537439395,6.882815802864476,6.906723318652891
salga,7.482451828654308,7.50487378698345,7.54424752063448,7.808376835001858,7.793804513430882,8.214972563298634,7.483379145982212,7.797320180988292,7.893543659499119,7.894892912265193,7.701096481228441,7.902372396176131,7.930457168433058,7.488006829712021,7.9019276168114,7.879244575941332,7.868247655987294,8.14876897314548,7.802616960858832,7.912278367709722,7.82250235500737,7.874456993580623,7.632566270777823,7.905653070890267,7.59135712602216,7.598989759334454,7.65146986920345,7.365412526447898,7.590301048196686,7.788139042299936,7.81437400686942,7.887552571664617
novio,7.482451828654308,6.748547704801973,7.511457697811489,7.234576412074479,7.105385474066883,7.116360274630524,6.812704821274325,6.755866306160131,6.7585637266601335,6.76996331527971,7.143553232894991,6.944838705767927,7.3069899085111025,7.11331338027061,7.336208045937959,6.979302982068707,7.339403526718626,7.130199392150906,7.0371491187192605,7.401452743943731,6.75091873872718,7.085999633216352,7.275891326839091,7.18781327773995,7.294105602554229,6.582055501680611,7.337812310348409,6.794867667980284,6.843086646366465,6.972389539647659,7.2012695339830115,7.1143626834311355
querer,6.863412620248085,6.989709761618861,7.479708999496909,7.15345086726211,6.976604684200958,6.721047537986378,7.0273617587112165,7.02413029275481,7.788183143841292,6.916566789471585,7.1108972699209385,7.133239308638263,7.119526952216729,6.906976947272782,7.221359218458314,6.865189675301285,7.074295776305384,7.1583702691176025,7.187431321768599,6.956766922682285,6.851723437849146,6.9286074594649225,7.052747775524881,7.094722854673938,7.111784045760274,7.031005721728515,7.114668759034199,6.8858394461860115,6.60947179518496,7.052432247321195,7.334800926607534,7.887552571664617
nuevo,5.223669358318656,5.290882349790163,5.498707530630325,5.428830700871684,5.477167666981186,5.44808186217349,4.951447557549349,5.445944923824814,5.372269365540244,5.431891097865242,4.374341575820802,5.45091368045567,5.483105952479278,5.4751260545505245,5.5203993214772344,5.34169419266791,5.486086164491137,5.311040948734736,5.253171789933261,5.432942762971177,5.308036902977825,5.451869108191881,5.171757172568883,5.1976028697880565,5.502346133326173,5.47637604578941,5.229932833348039,5.276401533751911,5.418077773065884,5.5254705567113325,5.634391235967707,4.458956215814348
mierda,5.90200145309346,7.382271464891117,6.994201183715208,6.975467712066754,6.976604684200958,6.975281676370619,7.115654365856895,7.132343877395043,7.046245799111915,7.201745731705247,7.156079492714171,6.703676648951038,7.404364072536279,6.906976947272782,6.799750261978794,7.071321880788958,6.8143932679606785,7.823346572710851,7.579473409544622,6.882658950528564,6.778698302834256,7.030736954541303,6.745263075776919,7.094722854673938,6.860469617479368,7.254149273042724,6.870215421133238,7.097148539853218,7.148468295917647,7.052432247321195,7.740266034715698,7.040254711277414
evento,7.231137400373402,7.0708353064312295,7.649608036292306,7.078415681319196,7.473636985834613,6.949306189967358,7.398221337641905,7.132343877395043,7.382718035733127,7.341007799038755,7.480855689572193,7.06262174142431,7.163202015719391,7.400995452722391,7.100566851611221,7.083443241321303,7.29858153219837,7.381513820431812,7.271988709796662,7.2191311871497765,7.0340449946431,7.286670328678503,6.939419090217878,7.009565046333631,6.978252653135751,7.387680665667247,7.145921302538303,7.03999012601327,6.8971538676367405,7.073485656519027,7.488951606434792,7.887552571664617
época,7.348920436029786,7.255977739566825,7.511457697811489,8.031520386316068,7.935455030493909,7.3170309700926754,8.111987805404587,8.202785289096457,7.893543659499119,7.875090284969013,7.800036429083344,7.569666642350395,7.821257876468066,8.345457061563243,7.6097911940102385,8.024426585785829,7.75383730480955,7.8805049865508,7.802616960858832,7.787115224755715,8.04564590632158,7.899774801564912,8.074399023056863,7.605548478439929,7.758411210685327,8.0343078305923,7.956851518754632,7.733137306573215,7.389630352734534,8.033261500332921,7.488951606434792,7.5998704992128365
mianiversariodetwitter,7.125776884715576,7.807154658856383,7.809950686367485,7.759586670832427,7.892895416075113,7.477373620167855,7.576469569048224,7.643169501161034,7.605861587047338,7.712571355471239,7.8408584236036,7.755768921984255,7.892716840450211,7.849020175249351,7.960768116834333,7.776590421881249,7.69268288165622,7.717986057053025,7.662855018483674,7.324491702807602,7.905883963946422,8.007988386205145,7.786716950605081,7.723331514096312,7.630577839175442,8.129618010396625,7.85506882444469,7.445455234121434,7.841615476477592,7.457897355429359,7.894416714542957,7.376726947898627
ciudadanos,6.943455327921622,7.572315067778982,7.0952973005865765,7.4368132785693755,7.091267592521098,7.086507311480843,7.824305732952806,7.691959665330466,7.893543659499119,7.4502070910037475,7.909851295090552,7.145509401230078,6.87106559291823,7.583317009516346,7.171966463128738,6.905195009914984,7.078872443332795,7.279731126121869,7.753826796689401,7.036809630355822,7.6740823498890975,6.881205220570339,6.837636395907935,7.072743947955163,7.630577839175442,7.487764124224229,7.65146986920345,7.532466611111063,7.389630352734534,7.7455794278811405,7.288280910972641,7.5998704992128365
gobierno,5.496536344985296,6.124029030631124,5.186543128419355,5.8988343301174195,5.691051892882599,5.987895022812733,6.0068379070145435,5.540197462071004,6.0477169690007875,5.776230657432076,6.017654121667887,5.656636167414238,5.49819425213048,5.967234554363578,5.477757202211231,5.891740529587182,5.391794141910353,5.583819615683942,6.344001938159316,5.7003476429838065,5.929390391519028,5.497228357590811,5.467602555659825,4.8469459981748875,5.91497973091295,5.807230290106399,5.872955626725416,5.819488019736123,6.652031409603755,5.799669278825827,5.643124915936461,5.6719788556602015
