Palabra,Promedio_IDF,STD_IDF,valor_max,Estado_max,Colima,Yucatán,Morelos,QR,Jalisco,Guerrero,Tamaulipas,Chiapas,BCS,Veracruz,NL,Guanajuato,Puebla,Tabasco,Mexico_City,Sonora,Mexico,Oaxaca,Coahuila,Michoacán,Sinaloa,Querétaro,Durango,Zacatecas,Chihuahua,Hidalgo,BC,Campeche,Tlaxcala,SLP,Aguascalientes,Nayarit
cama,7.504862356988658,0.21992115082331062,2.7633016973440805,Tlaxcala,0.7090810518909991,0.37909122716096183,-1.1937401835940396,-0.3654533745304086,-0.21419709718465296,1.3331682807960856,1.0920841905025989,0.67922038294269,0.8488626114142481,1.048311777132346,-1.2343403281636403,-1.352423718760225,-1.1354257834952537,1.3847581216646594,-0.3574532436280509,0.1821178135359504,-1.5613988513903754,0.2239009946009483,-0.33926274156280734,-0.32258731747383584,-0.4662062653725395,0.0866826729873503,-0.9176556469778859,-0.9933976622520342,0.9583287175673069,-0.9971325835593888,1.3338588438008898,-0.5589022859628537,2.7633016973440805,-0.39362467293913234,-0.18755659986165485,-0.4320100266322714
18,7.131477336778298,0.26673312653506914,2.8482298160823394,Hidalgo,-0.8152084522688618,-0.28081799445824457,1.2340692929639465,-0.08238020814757499,-0.15956976390432293,-0.9841847462317024,-2.053162250388901,-0.9761732240918182,0.8201565854706215,-0.009784110759078805,-0.10802066037503676,0.623206279394431,0.7708210451244475,-0.522863393488396,-0.25648914682861856,-0.5217853831621966,-0.458900692584474,1.5936985290346493,0.5240841059065645,-0.8651144948125259,-0.06778514997937156,-0.6342640528854665,-0.35850000010699135,1.1533229495561486,-0.8303009404036141,2.8482298160823394,-0.5632802676997561,1.8631068638857478,0.8784940670305134,-0.5794921828132206,-0.9451910127312982,-0.23592140632783523
empezar,7.239218868790318,0.19774880135514186,1.8207492490670376,Yucatán,0.04086734463892906,1.8207492490670376,-2.6709249286918015,0.36761749989219,-0.6284464790392398,0.3051256784616199,0.1350940018874162,0.08729677544080262,-0.7256639026857895,-0.69219256512145,0.48377353106438664,0.21778000395634756,-1.3171022113177209,-0.03856359205494986,-0.39898209727656936,1.314374018656234,-0.38763400836219464,0.40884495440009044,-1.14754604777482,0.8811095706966168,-0.09087123180443221,-0.03352468041525152,-0.444835831284473,-0.39771435608645966,0.7634196485930443,0.32926775269900777,0.22507040132521822,1.5402837152365645,0.4589184472966277,-2.5606251750747013,1.1488885540085603,1.006145959669205
proceso,7.218117903957383,0.34934470468532164,2.7231489512185716,Campeche,-0.756656451784573,-0.8208393577465763,0.22709802200245344,-0.3442310708761482,0.21205495449816528,-0.5034400261765587,-0.8894470473839751,0.9005878571269105,0.8742181958793055,-0.48650345535493356,-1.2212168525760738,-0.5115461123550542,-0.40588680494179985,-0.014874625142054907,-0.5301390590518347,0.20541555736518277,-0.3642699833174059,1.516414180551839,0.38168815631247843,1.0276081074776258,-1.1142950392898798,-0.5784653799967379,2.340654670030697,1.6986050470228113,-1.0683981095433488,-0.7718629097576702,-1.2404709716050126,2.7231489512185716,-0.24188450734823047,0.023062357392428262,-0.33400541380827703,0.06787712117769354
lado,6.403203435131666,0.11402385926598856,2.3124889700730087,BCS,0.1698231867445944,-0.41666565278833295,-1.2961525196912402,0.15729106599152823,0.18685439007725532,-1.1587658750560281,-1.876882325651956,0.4055715780121372,2.3124889700730087,-0.009077930672202413,-0.10998255613508723,1.2843681042711517,-1.1106387665000468,-1.2160586428938644,-0.14302516850088065,0.5309013723026916,-0.09147748397051533,0.6271646974490943,1.1106691054234368,-0.24091792569271595,1.3823054391200609,0.6224627437501992,0.5560719297792032,-1.9427143733119583,1.0357302701039794,0.12323385356363986,-0.16065184480255013,0.9684614400835018,-1.8089929720070437,0.6550385815563166,-0.3884651577319193,-0.15796753289596382
sola,7.0989283160040655,0.17972070745424604,1.9678602718453213,Durango,-2.9917208767630994,0.15631481742296183,-1.017995882358189,0.11413617815905479,-0.38976176889456005,0.06911281787817725,0.47603195246362584,-0.34722263866069086,0.7993196617838234,-0.19563002909009716,0.8954872603283724,-0.7620999752026388,-0.6639940304526861,-0.8230351359412754,-0.7623112063935006,0.4154999561867588,-0.5087874004577434,0.2713745801335254,1.1829582135019894,-1.0527208873848215,0.9371429852883458,-0.5992592980879495,1.9678602718453213,-0.9173726892644228,-0.7768021691707075,0.18929951412822416,1.4701677234105202,0.6287834766610909,1.1227111846234716,1.5922979939367585,-0.8062556310303366,0.32647103140070244
vivo,6.7220292679770015,0.19181205456310907,2.314320701884928,Nayarit,0.34542152555569183,-0.19172380524218358,0.7613297218467637,-0.3425062099256327,0.2694462656086893,-0.3242610156727359,-0.9048608206528875,0.2172465876554443,-0.7813020111352177,-0.49243027583818927,0.5343370481453739,-0.3805660688455195,-0.47321017974596824,-0.8765901671945144,-0.023697686252638576,0.4779636189286161,0.45673552512050336,-0.11155268174687426,-0.08277350412394954,1.2764339869788943,0.2611876541469841,-0.324190712349457,0.9805185930345628,-0.272254481299988,1.128088775650178,0.266022281008962,1.7634346196646706,-3.354237875905831,-1.2109927815994628,0.09333988400677945,-0.9986765117059041,2.314320701884928
cualquiera,7.716095490722872,0.19335915234759066,2.1969011100393834,Campeche,1.8989277219887506,-1.8583198693499414,-0.4853930858979712,-0.4772535623920026,-0.6008265040744688,1.2346034188538475,-1.0687382134966261,0.3771530267713602,0.9840579514282389,0.01822585178330941,0.36901250951544007,-0.08895661364094122,-0.19896141858009536,-0.053384400525252416,-0.3683753392830351,-0.5715030832075069,0.4191253474136306,-2.651626177872682,-0.4474650880782985,-0.07168691021140321,-0.3474681716148641,1.27795143002184,0.4319899985643998,-0.9803393212369796,0.44227361626875744,-0.7817486442769082,-0.24100236800289568,2.1969011100393834,0.6505740276521944,-0.3725893018374187,1.4543459781662604,-0.08950391488775394
10,5.852945167301171,0.16828251375764233,2.5084505753568673,Tlaxcala,-0.8404296011823816,-0.2524962712963307,-1.0251737112496273,-0.3168727404474322,0.8305125883183005,0.5007318691715886,-0.7070043818010265,-1.0179766967228263,-0.4690920310840085,-0.6047465559271262,0.21297150082054464,0.4831613539450965,0.2905026942141217,-0.2247353110319818,-0.026863318270429683,0.8712008025771117,-1.5526470433952018,-0.09856090497400229,0.18617308839373847,-0.34378616593370864,0.5025272329312723,0.2506580005870057,0.8656262324778288,1.021589493147388,-2.0355540153047613,0.6660819572797387,-0.3614900478139351,2.443626755636111,2.5084505753568673,-0.010600558952026452,0.03696935578482309,-1.7827541452548308
nomás,7.2510133154949905,0.46065357919753264,2.1649517875812148,Sonora,1.0022904157283077,-1.272093245279646,-2.29103670273195,-1.1040256242519175,0.5499907816575522,0.01181215045357813,-0.3195633959978206,-1.7314991781105398,-0.14580631114941178,-0.7624167024148546,0.5197707292169863,-0.21554266126416877,-1.2756577398326487,0.3875405246077185,-0.4024389711429976,2.1649517875812148,-0.6666167941718868,-0.6179289548991406,0.13802561533800084,0.20931271097632992,0.7999899178490192,-0.26629205917998805,0.8973704715529754,1.0349693948462397,2.0740890469499385,0.16695137864721585,1.3370516686218266,-1.0466085858229814,0.22260766920769137,0.03529661358143741,0.10798522742107773,0.4575208220127632
